Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2011,CA,Full-Service Providers,"88,173,286","110,007,034","41,177,804","463,168",NA,"239,821,292"
2011,CO,Full-Service Providers,"18,276,799","19,889,231","15,241,814","50,441",NA,"53,458,285"
2011,CT,Full-Service Providers,"7,554,593","2,854,717","927,065","47,005",NA,"11,383,380"
2011,DC,Full-Service Providers,"1,905,998","1,160,260",0,0,NA,"3,066,258"
2011,DE,Full-Service Providers,"4,525,294","1,710,798","1,112,345",0,NA,"7,348,437"
2011,FL,Full-Service Providers,"116,341,105","91,778,108","16,885,585","85,624",NA,"225,090,422"
2011,GA,Full-Service Providers,"57,749,519","46,930,109","31,521,020","170,501",NA,"136,371,149"
2011,HI,Full-Service Providers,"2,928,743","3,368,131","3,664,779",0,NA,"9,961,653"
2011,IA,Full-Service Providers,"14,326,771","12,087,902","19,240,204",0,NA,"45,654,877"
2011,ID,Full-Service Providers,"8,389,866","5,969,462","8,912,396",0,NA,"23,271,724"
2011,IL,Full-Service Providers,"46,231,105","20,102,243","6,565,272","19,254",NA,"72,917,874"
2011,IN,Full-Service Providers,"33,912,098","24,111,250","47,774,083","20,708",NA,"105,818,139"
2011,KS,Full-Service Providers,"14,343,748","15,609,278","10,807,373",0,NA,"40,760,399"
2011,KY,Full-Service Providers,"27,197,836","18,721,081","43,619,424",0,NA,"89,538,341"
2011,LA,Full-Service Providers,"32,019,040","24,280,780","30,058,415","10,846",NA,"86,369,081"
2011,MA,Full-Service Providers,"18,280,669","7,718,148","4,589,823",0,NA,"30,588,640"
2011,MD,Full-Service Providers,"22,880,455","8,027,646","729,296",0,NA,"31,637,397"
2011,ME,Full-Service Providers,"78,731","45,374","31,269",0,NA,"155,374"
2011,MI,Full-Service Providers,"34,810,472","34,125,650","26,750,725","5,283",NA,"95,692,130"
2011,MN,Full-Service Providers,"22,523,727","22,371,109","23,618,724","19,148",NA,"68,532,708"
2011,MO,Full-Service Providers,"35,941,243","30,962,081","17,329,648","21,869",NA,"84,254,841"
2011,MS,Full-Service Providers,"19,336,430","13,737,924","16,263,203",0,NA,"49,337,557"
2011,MT,Full-Service Providers,"4,912,987","4,729,721","1,488,427",0,NA,"11,131,135"
2011,NC,Full-Service Providers,"58,055,878","46,467,228","26,554,615","7,212",NA,"131,084,933"
2011,ND,Full-Service Providers,"4,552,228","4,866,230","4,318,558",0,NA,"13,737,016"
2011,NE,Full-Service Providers,"9,946,973","9,139,410","10,589,701",0,NA,"29,676,084"
2011,NH,Full-Service Providers,"4,442,490","2,461,660","457,571",0,NA,"7,361,721"
2011,NJ,Full-Service Providers,"26,695,019","14,280,985","1,676,569","22,863",NA,"42,675,436"
2011,NM,Full-Service Providers,"6,873,748","9,257,633","6,910,284",0,NA,"23,041,665"
2011,NV,Full-Service Providers,"11,493,279","8,711,826","12,236,783","8,077",NA,"32,449,965"
2011,NY,Full-Service Providers,"42,707,073","28,432,063","4,199,691","448,374",NA,"75,787,201"
2011,OH,Full-Service Providers,"38,924,198","20,789,476","28,683,103","1,133",NA,"88,397,910"
2011,OK,Full-Service Providers,"24,425,027","19,612,922","15,808,845",0,NA,"59,846,794"
2011,OR,Full-Service Providers,"19,429,175","15,315,960","10,989,910","24,891",NA,"45,759,936"
2011,PA,Full-Service Providers,"44,078,260","14,613,553","6,483,670",85,NA,"65,175,568"
2011,RI,Full-Service Providers,"3,098,664","1,884,340","282,319",0,NA,"5,265,323"
2011,SC,Full-Service Providers,"30,801,731","21,592,794","28,094,021",0,NA,"80,488,546"
2011,SD,Full-Service Providers,"4,646,384","4,446,864","2,586,352",0,NA,"11,679,600"
2011,TN,Full-Service Providers,"43,067,861","29,025,334","28,638,453","1,681",NA,"100,733,329"
2011,TX,Full-Service Providers,"145,654,228","128,213,690","102,128,869","68,329",NA,"376,065,116"
2011,UT,Full-Service Providers,"8,946,741","10,544,326","9,332,992","34,887",NA,"28,858,946"
2011,VA,Full-Service Providers,"45,771,144","47,051,425","17,218,005","187,691",NA,"110,228,265"
2011,VT,Full-Service Providers,"2,124,533","2,008,547","1,417,104",0,NA,"5,550,184"
2011,WA,Full-Service Providers,"36,376,143","29,332,691","25,686,615","7,083",NA,"91,402,532"
2011,WI,Full-Service Providers,"22,149,941","23,054,970","23,406,711",0,NA,"68,611,622"
2011,WV,Full-Service Providers,"11,746,151","7,767,926","11,720,437","4,239",NA,"31,238,753"
2011,WY,Full-Service Providers,"2,802,726","4,353,082","10,261,954",0,NA,"17,417,762"
2011,US,Full-Service Providers,"1,368,453,770","1,090,292,969","822,404,124","1,730,820",NA,"3,282,881,683"
2011,CA,Energy-Only Providers,"225,130","12,773,883","8,757,972","363,423",NA,"22,120,408"
2011,CT,Energy-Only Providers,"5,364,203","10,232,293","2,741,152","137,965",NA,"18,475,613"
2011,DC,Energy-Only Providers,"155,394","7,805,574","216,244","318,585",NA,"8,495,797"
2011,DE,Energy-Only Providers,"106,800","2,549,044","1,479,015",0,NA,"4,134,859"
2011,IL,Energy-Only Providers,"825,897","30,365,795","38,278,839","497,162",NA,"69,967,693"
2011,MA,Energy-Only Providers,"2,191,843","10,048,454","12,383,684","357,291",NA,"24,981,272"
2011,MD,Energy-Only Providers,"4,415,220","22,721,959","4,278,090","547,045",NA,"31,962,314"
2011,ME,Energy-Only Providers,"4,302,805","3,972,696","2,984,470",0,NA,"11,259,971"
2011,MI,Energy-Only Providers,865,"4,487,068","4,873,495",0,NA,"9,361,428"
2011,MT,Energy-Only Providers,123,"162,550","2,494,273",0,NA,"2,656,946"
2011,NH,Energy-Only Providers,"11,598","2,016,446","1,478,842",0,NA,"3,506,886"
2011,NJ,Energy-Only Providers,"2,703,851","24,836,760","6,356,685","287,030",NA,"34,184,326"
2011,NV,Energy-Only Providers,0,"283,336","1,183,178",0,NA,"1,466,514"
2011,NY,Energy-Only Providers,"8,532,526","47,973,737","9,220,462","2,532,683",NA,"68,259,408"
2011,OH,Energy-Only Providers,"14,762,913","26,322,287","25,230,334","32,866",NA,"66,348,400"
2011,OR,Energy-Only Providers,0,"438,289","973,221",0,NA,"1,411,510"
2011,PA,Energy-Only Providers,"10,717,373","28,922,283","43,101,774","840,240",NA,"83,581,670"
2011,RI,Energy-Only Providers,"30,782","1,775,803","633,538","26,974",NA,"2,467,097"
2011,WA,Energy-Only Providers,0,"76,213","2,246,172",0,NA,"2,322,385"
2011,US,Energy-Only Providers,"54,347,323","237,764,470","168,911,440","5,941,264",NA,"466,964,497"
2010,AK,Total Electric Industry,"2,093,217","2,829,738","1,324,083",0,NA,"6,247,038"
2010,AL,Total Electric Industry,"35,529,292","22,983,768","32,349,585",0,NA,"90,862,645"
2010,AR,Total Electric Industry,"19,230,961","12,188,205","16,774,699",420,NA,"48,194,285"
2010,AZ,Total Electric Industry,"32,448,138","28,942,918","11,441,974",0,NA,"72,833,030"
2010,CA,Total Electric Industry,"87,256,946","121,151,697","49,301,025","821,224",NA,"258,530,892"
2010,CO,Total Electric Industry,"18,102,386","19,597,222","15,171,843","46,335",NA,"52,917,786"
2010,CT,Total Electric Industry,"13,065,275","13,427,698","3,712,952","185,841",NA,"30,391,766"
2010,DC,Total Electric Industry,"2,123,312","9,209,486","229,597","314,600",NA,"11,876,995"
2010,DE,Total Electric Industry,"4,759,973","4,320,020","2,525,939",0,NA,"11,605,932"
2010,FL,Total Electric Industry,"122,244,650","91,614,093","17,265,268","85,603",NA,"231,209,614"
2010,GA,Total Electric Industry,"61,554,498","47,897,477","31,046,909","172,696",NA,"140,671,580"
2010,HI,Total Electric Industry,"2,989,499","3,354,523","3,672,487",0,NA,"10,016,509"
2010,IA,Total Electric Industry,"14,554,888","12,025,276","18,865,105",0,NA,"45,445,269"
2010,ID,Total Electric Industry,"8,136,736","5,864,885","8,796,047",0,NA,"22,797,668"
2010,IL,Total Electric Industry,"48,582,984","51,437,414","44,180,125","560,151",NA,"144,760,674"
2010,IN,Total Electric Industry,"35,058,372","24,364,616","46,551,671","19,717",NA,"105,994,376"
2010,KS,Total Electric Industry,"14,334,086","15,435,825","10,650,764",0,NA,"40,420,675"
2010,KY,Total Electric Industry,"29,136,518","19,410,547","45,022,361",0,NA,"93,569,426"
2010,LA,Total Electric Industry,"32,678,931","24,203,161","28,186,816","10,784",NA,"85,079,692"
2010,MA,Total Electric Industry,"21,409,005","18,243,198","17,116,157","355,062",NA,"57,123,422"
2010,MD,Total Electric Industry,"28,934,074","30,771,317","5,083,115","546,992",NA,"65,335,498"
2010,ME,Total Electric Industry,"4,371,835","4,100,906","3,058,827",0,NA,"11,531,568"
2010,MI,Total Electric Industry,"34,680,715","38,123,171","30,840,513","4,820",NA,"103,649,219"
2010,MN,Total Electric Industry,"22,464,797","22,515,351","22,797,763","21,795",NA,"67,799,706"
2010,MO,Total Electric Industry,"37,302,279","31,430,653","17,330,169","22,016",NA,"86,085,117"
2010,MS,Total Electric Industry,"20,174,826","13,804,962","15,707,378",0,NA,"49,687,166"
2010,MT,Total Electric Industry,"4,742,794","4,789,182","4,239,477",0,NA,"13,771,453"
2010,NC,Total Electric Industry,"62,160,107","47,931,940","26,315,850","7,050",NA,"136,414,947"
2010,ND,Total Electric Industry,"4,392,596","4,714,115","3,849,552",0,NA,"12,956,263"
2010,NE,Total Electric Industry,"10,106,673","9,532,438","10,210,349",0,NA,"29,849,460"
2010,NH,Total Electric Industry,"4,485,469","4,462,438","1,942,167",0,NA,"10,890,074"
2010,NJ,Total Electric Industry,"30,307,268","40,122,547","8,428,639","320,973",NA,"79,179,427"
2010,NM,Total Electric Industry,"6,752,473","9,015,729","6,660,142",0,NA,"22,428,344"
2010,NV,Total Electric Industry,"11,614,669","8,969,727","13,179,708","8,491",NA,"33,772,595"
2010,NY,Total Electric Industry,"50,945,648","77,275,676","13,480,462","2,921,787",NA,"144,623,573"
2010,OH,Total Electric Industry,"54,474,377","46,525,627","53,109,368","36,046",NA,"154,145,418"
2010,OK,Total Electric Industry,"23,688,861","19,005,132","15,151,987",0,NA,"57,845,980"
2010,OR,Total Electric Industry,"18,838,666","15,453,588","11,708,420","25,271",NA,"46,025,945"
2010,PA,Total Electric Industry,"55,252,837","47,366,366","45,457,627","887,138",NA,"148,963,968"
2010,RI,Total Electric Industry,"3,117,808","3,693,289","960,833","27,297",NA,"7,799,227"
2010,SC,Total Electric Industry,"32,852,086","22,320,133","27,307,074",0,NA,"82,479,293"
2010,SD,Total Electric Industry,"4,628,123","4,367,781","2,360,245",0,NA,"11,356,149"
2010,TN,Total Electric Industry,"45,191,027","29,399,025","28,929,637","1,848",NA,"103,521,537"
2010,TX,Total Electric Industry,"137,161,402","121,467,292","99,754,412","74,444",NA,"358,457,550"
2010,UT,Total Electric Industry,"8,834,230","10,367,847","8,808,211","33,713",NA,"28,044,001"
2010,VA,Total Electric Industry,"48,438,958","48,036,984","17,141,224","188,969",NA,"113,806,135"
2010,VT,Total Electric Industry,"2,127,935","2,020,937","1,445,961",0,NA,"5,594,833"
2010,WA,Total Electric Industry,"34,906,926","28,833,281","26,632,814","6,949",NA,"90,379,970"
2010,WI,Total Electric Industry,"22,299,493","23,001,117","23,451,807",0,NA,"68,752,417"
2010,WV,Total Electric Industry,"12,442,583","7,961,906","11,622,934","4,380",NA,"32,031,803"
2010,WY,Total Electric Industry,"2,727,201","4,317,140","10,069,117",0,NA,"17,113,458"
2010,US,Total Electric Industry,"1,445,708,403","1,330,199,364","971,221,189","7,712,412",NA,"3,754,841,368"
2010,AK,Full-Service Providers,"2,093,217","2,829,738","1,324,083",0,NA,"6,247,038"
2010,AL,Full-Service Providers,"35,529,292","22,983,768","32,349,585",0,NA,"90,862,645"
2010,AR,Full-Service Providers,"19,230,961","12,188,205","16,774,699",420,NA,"48,194,285"
2010,AZ,Full-Service Providers,"32,448,138","28,942,918","11,441,974",0,NA,"72,833,030"
2010,CA,Full-Service Providers,"87,085,139","111,360,514","42,036,540","471,958",NA,"240,954,151"
2010,CO,Full-Service Providers,"18,102,386","19,597,222","15,171,843","46,335",NA,"52,917,786"
2010,CT,Full-Service Providers,"9,259,516","3,401,278","934,608","119,556",NA,"13,714,958"
2010,DC,Full-Service Providers,"2,014,044","1,374,446",0,0,NA,"3,388,490"
2010,DE,Full-Service Providers,"4,674,180","1,768,561","1,139,798",0,NA,"7,582,539"
2010,FL,Full-Service Providers,"122,244,650","91,614,093","17,265,268","85,603",NA,"231,209,614"
2010,GA,Full-Service Providers,"61,554,498","47,897,477","31,046,909","172,696",NA,"140,671,580"
2010,HI,Full-Service Providers,"2,989,499","3,354,523","3,672,487",0,NA,"10,016,509"
2010,IA,Full-Service Providers,"14,554,888","12,025,276","18,865,105",0,NA,"45,445,269"
2010,ID,Full-Service Providers,"8,136,736","5,864,885","8,796,047",0,NA,"22,797,668"
2010,IL,Full-Service Providers,"48,575,888","22,821,352","6,474,299","18,993",NA,"77,890,532"
2010,IN,Full-Service Providers,"35,058,372","24,364,616","46,551,671","19,717",NA,"105,994,376"
2010,KS,Full-Service Providers,"14,334,086","15,435,825","10,650,764",0,NA,"40,420,675"
2010,KY,Full-Service Providers,"29,136,518","19,410,547","45,022,361",0,NA,"93,569,426"
2010,LA,Full-Service Providers,"32,678,931","24,203,161","28,186,816","10,784",NA,"85,079,692"
2010,MA,Full-Service Providers,"19,132,222","8,140,920","4,549,800",0,NA,"31,822,942"
2010,MD,Full-Service Providers,"26,615,175","8,678,037","789,261",0,NA,"36,082,473"
2010,ME,Full-Service Providers,"76,789","44,871","29,928",0,NA,"151,588"
2010,MI,Full-Service Providers,"34,679,678","33,730,671","26,150,078","4,820",NA,"94,565,247"
2010,MN,Full-Service Providers,"22,464,797","22,515,351","22,797,763","21,795",NA,"67,799,706"
2010,MO,Full-Service Providers,"37,302,279","31,430,653","17,330,169","22,016",NA,"86,085,117"
2010,MS,Full-Service Providers,"20,174,826","13,804,962","15,707,378",0,NA,"49,687,166"
2010,MT,Full-Service Providers,"4,742,674","4,620,432","1,788,631",0,NA,"11,151,737"
2010,NC,Full-Service Providers,"62,160,107","47,931,940","26,315,850","7,050",NA,"136,414,947"
2010,ND,Full-Service Providers,"4,392,596","4,714,115","3,849,552",0,NA,"12,956,263"
2010,NE,Full-Service Providers,"10,106,673","9,532,438","10,210,349",0,NA,"29,849,460"
2010,NH,Full-Service Providers,"4,474,789","2,725,768","512,381",0,NA,"7,712,938"
2010,NJ,Full-Service Providers,"29,927,011","18,426,101","2,128,923",0,NA,"50,482,035"
2010,NM,Full-Service Providers,"6,752,473","9,015,729","6,660,142",0,NA,"22,428,344"
2010,NV,Full-Service Providers,"11,614,669","8,692,710","12,033,009","8,491",NA,"32,348,879"
2010,NY,Full-Service Providers,"43,315,172","30,744,857","4,749,176","310,564",NA,"79,119,769"
2010,OH,Full-Service Providers,"44,252,697","28,519,152","32,550,166","7,782",NA,"105,329,797"
2010,OK,Full-Service Providers,"23,688,861","19,005,132","15,151,987",0,NA,"57,845,980"
2010,OR,Full-Service Providers,"18,838,666","15,005,042","10,656,886","25,271",NA,"44,525,865"
2010,PA,Full-Service Providers,"50,228,983","30,641,729","33,140,292","776,413",NA,"114,787,417"
2010,RI,Full-Service Providers,"3,103,204","1,949,206","299,438",0,NA,"5,351,848"
2010,SC,Full-Service Providers,"32,852,086","22,320,133","27,307,074",0,NA,"82,479,293"
2010,SD,Full-Service Providers,"4,628,123","4,367,781","2,360,245",0,NA,"11,356,149"
2010,TN,Full-Service Providers,"45,191,027","29,399,025","28,929,637","1,848",NA,"103,521,537"
2010,TX,Full-Service Providers,"137,161,402","121,467,292","99,754,412","74,444",NA,"358,457,550"
2010,UT,Full-Service Providers,"8,834,230","10,367,847","8,808,211","33,713",NA,"28,044,001"
2010,VA,Full-Service Providers,"48,438,958","48,036,984","17,141,224","188,969",NA,"113,806,135"
2010,VT,Full-Service Providers,"2,127,935","2,020,937","1,445,961",0,NA,"5,594,833"
2010,WA,Full-Service Providers,"34,906,926","28,759,930","24,443,153","6,949",NA,"88,116,958"
2010,WI,Full-Service Providers,"22,299,493","23,001,117","23,451,807",0,NA,"68,752,417"
2010,WV,Full-Service Providers,"12,442,583","7,961,906","11,622,934","4,380",NA,"32,031,803"
2010,WY,Full-Service Providers,"2,727,201","4,317,140","10,069,117",0,NA,"17,113,458"
2010,US,Full-Service Providers,"1,409,355,244","1,123,328,313","840,439,791","2,440,567",NA,"3,375,563,915"
2010,CA,Energy-Only Providers,"171,807","9,791,183","7,264,485","349,266",NA,"17,576,741"
2010,CT,Energy-Only Providers,"3,805,759","10,026,420","2,778,344","66,285",NA,"16,676,808"
2010,DC,Energy-Only Providers,"109,268","7,835,040","229,597","314,600",NA,"8,488,505"
2010,DE,Energy-Only Providers,"85,793","2,551,459","1,386,141",0,NA,"4,023,393"
2010,ID,Energy-Only Providers,0,0,0,0,NA,0
2010,IL,Energy-Only Providers,"7,096","28,616,062","37,705,826","541,158",NA,"66,870,142"
2010,MA,Energy-Only Providers,"2,276,783","10,102,278","12,566,357","355,062",NA,"25,300,480"
2010,MD,Energy-Only Providers,"2,318,899","22,093,280","4,293,854","546,992",NA,"29,253,025"
2010,ME,Energy-Only Providers,"4,295,046","4,056,035","3,028,899",0,NA,"11,379,980"
2010,MI,Energy-Only Providers,"1,037","4,392,500","4,690,435",0,NA,"9,083,972"
2010,MT,Energy-Only Providers,120,"168,750","2,450,846",0,NA,"2,619,716"
2010,NH,Energy-Only Providers,"10,680","1,736,670","1,429,786",0,NA,"3,177,136"
2010,NJ,Energy-Only Providers,"380,257","21,696,446","6,299,716","320,973",NA,"28,697,392"
2010,NV,Energy-Only Providers,0,"277,017","1,146,699",0,NA,"1,423,716"
2010,NY,Energy-Only Providers,"7,630,476","46,530,819","8,731,286","2,611,223",NA,"65,503,804"
2010,OH,Energy-Only Providers,"10,221,680","18,006,475","20,559,202","28,264",NA,"48,815,621"
2010,OR,Energy-Only Providers,0,"448,546","1,051,534",0,NA,"1,500,080"
2010,PA,Energy-Only Providers,"5,023,854","16,724,637","12,317,335","110,725",NA,"34,176,551"
2010,RI,Energy-Only Providers,"14,604","1,744,083","661,395","27,297",NA,"2,447,379"
2010,WA,Energy-Only Providers,0,"73,351","2,189,661",0,NA,"2,263,012"
2010,US,Energy-Only Providers,"36,353,159","206,871,051","130,781,398","5,271,845",NA,"379,277,453"
2009,AK,Total Electric Industry,"2,117,393","2,841,337","1,311,441",0,NA,"6,270,171"
2009,AL,Total Electric Industry,"31,489,411","21,918,478","29,436,713",0,NA,"82,844,602"
2009,AR,Total Electric Industry,"16,985,526","11,476,900","14,710,294",384,NA,"43,173,104"
2009,AZ,Total Electric Industry,"32,846,843","29,385,690","11,200,396",0,NA,"73,432,929"
2009,CA,Total Electric Industry,"89,798,789","121,105,407","47,835,152","844,328",NA,"259,583,676"
2009,CO,Total Electric Industry,"17,412,630","20,008,463","13,571,148","43,665",NA,"51,035,906"
2009,CT,Total Electric Industry,"12,578,225","13,257,343","3,692,019","188,177",NA,"29,715,764"
2009,DC,Total Electric Industry,"1,899,655","8,992,144","234,035","308,541",NA,"11,434,375"
2009,DE,Total Electric Industry,"4,334,912","4,184,934","2,737,932",0,NA,"11,257,778"
2009,FL,Total Electric Industry,"115,473,511","92,274,655","16,917,941","84,215",NA,"224,750,322"
2009,GA,Total Electric Industry,"55,157,559","46,080,389","29,348,148","179,409",NA,"130,765,505"
2009,HI,Total Electric Industry,"3,055,273","3,388,012","3,682,900",0,NA,"10,126,185"
2009,IA,Total Electric Industry,"13,723,413","11,706,306","18,211,476",0,NA,"43,641,195"
2009,ID,Total Electric Industry,"8,553,610","6,005,433","8,194,736",0,NA,"22,753,779"
2009,IL,Total Electric Industry,"44,324,492","50,329,279","41,507,314","527,381",NA,"136,688,466"
2009,IN,Total Electric Industry,"32,548,113","23,688,605","43,055,162","19,933",NA,"99,311,813"
2009,KS,Total Electric Industry,"13,149,100","15,006,967","10,087,277",0,NA,"38,243,344"
2009,KY,Total Electric Industry,"26,560,669","18,733,920","43,602,168",0,NA,"88,896,757"
2009,LA,Total Electric Industry,"29,746,798","23,300,521","25,613,203","9,060",NA,"78,669,582"
2009,MA,Total Electric Industry,"19,474,647","17,774,774","16,754,266","355,511",NA,"54,359,198"
2009,MD,Total Electric Industry,"26,944,566","29,806,001","5,285,833","552,743",NA,"62,589,143"
2009,ME,Total Electric Industry,"4,360,002","4,071,041","2,851,924",0,NA,"11,282,967"
2009,MI,Total Electric Industry,"32,854,122","37,870,363","27,391,101","5,428",NA,"98,121,014"
2009,MN,Total Electric Industry,"22,033,959","22,311,487","19,637,127","21,890",NA,"64,004,463"
2009,MO,Total Electric Industry,"34,220,694","30,604,880","15,050,485","21,241",NA,"79,897,300"
2009,MS,Total Electric Industry,"18,095,194","13,013,470","14,940,490",0,NA,"46,049,154"
2009,MT,Total Electric Industry,"4,790,401","4,790,862","4,772,512",0,NA,"14,353,775"
2009,NC,Total Electric Industry,"56,311,126","46,240,476","25,099,682","6,695",NA,"127,657,979"
2009,ND,Total Electric Industry,"4,449,220","4,558,194","3,641,166",0,NA,"12,648,580"
2009,NE,Total Electric Industry,"9,626,939","9,314,288","9,510,967",0,NA,"28,452,194"
2009,NH,Total Electric Industry,"4,421,522","4,440,760","1,836,211",0,NA,"10,698,493"
2009,NJ,Total Electric Industry,"27,832,944","39,377,041","8,250,104","319,764",NA,"75,779,853"
2009,NM,Total Electric Industry,"6,503,772","8,734,170","6,409,194",0,NA,"21,647,136"
2009,NV,Total Electric Industry,"11,880,150","8,950,123","13,445,042","8,339",NA,"34,283,654"
2009,NY,Total Electric Industry,"48,245,841","75,347,118","13,416,581","3,024,857",NA,"140,034,397"
2009,OH,Total Electric Industry,"51,405,162","45,369,743","49,485,875","39,013",NA,"146,299,793"
2009,OK,Total Electric Industry,"21,640,955","18,670,167","14,233,458",0,NA,"54,544,580"
2009,OR,Total Electric Industry,"19,804,315","15,977,598","11,761,280","23,704",NA,"47,566,897"
2009,PA,Total Electric Industry,"52,905,995","46,411,160","43,551,745","878,538",NA,"143,747,438"
2009,RI,Total Electric Industry,"2,936,699","3,690,676","990,254",0,NA,"7,617,629"
2009,SC,Total Electric Industry,"29,556,323","21,439,771","25,421,385",0,NA,"76,417,479"
2009,SD,Total Electric Industry,"4,511,308","4,238,348","2,260,462",0,NA,"11,010,118"
2009,TN,Total Electric Industry,"40,274,908","28,048,799","26,584,323","1,814",NA,"94,909,844"
2009,TX,Total Electric Industry,"129,814,900","118,534,735","96,930,878","70,907",NA,"345,351,420"
2009,UT,Total Electric Industry,"8,725,274","10,235,285","8,593,799","32,342",NA,"27,586,700"
2009,VA,Total Electric Industry,"44,763,019","46,828,102","16,677,928","193,414",NA,"108,462,463"
2009,VT,Total Electric Industry,"2,121,828","1,991,194","1,383,491",0,NA,"5,496,513"
2009,WA,Total Electric Industry,"36,768,184","30,068,674","23,370,520","2,624",NA,"90,210,002"
2009,WI,Total Electric Industry,"21,421,045","22,475,846","22,389,548",0,NA,"66,286,439"
2009,WV,Total Electric Industry,"11,587,693","7,694,450","10,985,114","4,072",NA,"30,271,329"
2009,WY,Total Electric Industry,"2,719,524","4,288,145","9,554,268",0,NA,"16,561,937"
2009,US,Total Electric Industry,"1,364,758,153","1,306,852,524","917,416,468","7,767,989",NA,"3,596,795,134"
2009,AK,Full-Service Providers,"2,117,393","2,841,337","1,311,441",0,NA,"6,270,171"
2009,AL,Full-Service Providers,"31,489,411","21,918,478","29,436,713",0,NA,"82,844,602"
2009,AR,Full-Service Providers,"16,985,526","11,476,900","14,710,294",384,NA,"43,173,104"
2009,AZ,Full-Service Providers,"32,846,843","29,385,690","11,200,396",0,NA,"73,432,929"
2009,CA,Full-Service Providers,"89,669,370","111,588,020","40,919,598","482,758",NA,"242,659,746"
2009,CO,Full-Service Providers,"17,412,630","20,008,463","13,571,148","43,665",NA,"51,035,906"
2009,CT,Full-Service Providers,"11,132,461","4,473,242","1,093,603",0,NA,"16,699,306"
2009,DC,Full-Service Providers,"1,842,125","1,724,984",0,0,NA,"3,567,109"
2009,DE,Full-Service Providers,"4,259,392","1,923,374","1,029,913",0,NA,"7,212,679"
2009,FL,Full-Service Providers,"115,473,511","92,274,655","16,917,941","84,215",NA,"224,750,322"
2009,GA,Full-Service Providers,"55,157,559","46,080,389","29,348,148","179,409",NA,"130,765,505"
2009,HI,Full-Service Providers,"3,055,273","3,388,012","3,682,900",0,NA,"10,126,185"
2009,IA,Full-Service Providers,"13,723,413","11,706,306","18,211,476",0,NA,"43,641,195"
2009,ID,Full-Service Providers,"8,553,610","6,005,433","8,194,736",0,NA,"22,753,779"
2009,IL,Full-Service Providers,"44,322,408","24,507,693","5,343,440","20,966",NA,"74,194,507"
2009,IN,Full-Service Providers,"32,548,113","23,688,605","43,055,162","19,933",NA,"99,311,813"
2009,KS,Full-Service Providers,"13,149,100","15,006,967","10,087,277",0,NA,"38,243,344"
2009,KY,Full-Service Providers,"26,560,669","18,733,920","43,602,168",0,NA,"88,896,757"
2009,LA,Full-Service Providers,"29,746,798","23,300,521","25,613,203","9,060",NA,"78,669,582"
2009,MA,Full-Service Providers,"17,306,164","7,957,551","4,470,396",0,NA,"29,734,111"
2009,MD,Full-Service Providers,"26,010,643","9,088,897","862,921",0,NA,"35,962,461"
2009,ME,Full-Service Providers,"77,391","44,367","28,613",0,NA,"150,371"
2009,MI,Full-Service Providers,"32,853,872","35,496,500","25,718,504","5,428",NA,"94,074,304"
2009,MN,Full-Service Providers,"22,033,959","22,311,487","19,637,127","21,890",NA,"64,004,463"
2009,MO,Full-Service Providers,"34,220,694","30,604,880","15,050,485","21,241",NA,"79,897,300"
2009,MS,Full-Service Providers,"18,095,194","13,013,470","14,940,490",0,NA,"46,049,154"
2009,MT,Full-Service Providers,"4,790,275","4,621,002","1,892,997",0,NA,"11,304,274"
2009,NC,Full-Service Providers,"56,311,126","46,240,476","25,099,682","6,695",NA,"127,657,979"
2009,ND,Full-Service Providers,"4,449,220","4,558,194","3,641,166",0,NA,"12,648,580"
2009,NE,Full-Service Providers,"9,626,939","9,314,288","9,510,967",0,NA,"28,452,194"
2009,NH,Full-Service Providers,"4,369,165","3,608,155","840,382",0,NA,"8,817,702"
2009,NJ,Full-Service Providers,"27,831,380","24,025,307","2,470,619","16,415",NA,"54,343,721"
2009,NM,Full-Service Providers,"6,503,772","8,734,170","6,409,194",0,NA,"21,647,136"
2009,NV,Full-Service Providers,"11,880,150","8,949,958","11,966,108","8,339",NA,"32,804,555"
2009,NY,Full-Service Providers,"41,695,652","30,802,416","4,788,480","315,369",NA,"77,601,917"
2009,OH,Full-Service Providers,"48,732,287","41,300,548","43,275,319","39,013",NA,"133,347,167"
2009,OK,Full-Service Providers,"21,640,955","18,670,167","14,233,458",0,NA,"54,544,580"
2009,OR,Full-Service Providers,"19,804,315","15,496,728","9,930,307","23,704",NA,"45,255,054"
2009,PA,Full-Service Providers,"51,843,046","40,528,614","39,493,957","860,602",NA,"132,726,219"
2009,RI,Full-Service Providers,"2,929,418","2,309,120","438,724",0,NA,"5,677,262"
2009,SC,Full-Service Providers,"29,556,323","21,439,771","25,421,385",0,NA,"76,417,479"
2009,SD,Full-Service Providers,"4,511,308","4,238,348","2,260,462",0,NA,"11,010,118"
2009,TN,Full-Service Providers,"40,274,908","28,048,799","26,584,323","1,814",NA,"94,909,844"
2009,TX,Full-Service Providers,"129,814,900","118,534,735","96,930,878","70,907",NA,"345,351,420"
2009,UT,Full-Service Providers,"8,725,274","10,235,285","8,593,799","32,342",NA,"27,586,700"
2009,VA,Full-Service Providers,"44,762,153","46,828,092","16,677,928","193,414",NA,"108,461,587"
2009,VT,Full-Service Providers,"2,121,828","1,991,194","1,383,491",0,NA,"5,496,513"
