"DBA","BORO","STREET","ZIPCODE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE","X1","X2"
"THE CROOKED KNIFE","MANHATTAN","EAST 30 STREET",10016,"American","08/22/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",9,"A","08/22/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.991267,40.753258
"MARISCO CENTRO","MANHATTAN","SAINT NICHOLAS AVE",10033,"Seafood","05/13/2016","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",9,"A","05/13/2016","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.9880461,40.7642211
"PANAME","MANHATTAN","2ND AVE",10022,"French","08/11/2014","Violations were cited in the following area(s).","08B","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.","Not Critical",3,"A","08/11/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9818735,40.7299217
"PIER SIDE CAFE","MANHATTAN","PIER 78 WEST 38 STREET",10018,"American","03/30/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A","03/30/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.953274,40.775318
"ISLAND BURGERS & SHAKES","MANHATTAN","AMSTERDAM AVENUE",10024,"Hamburgers","06/30/2014","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,"A","06/30/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9807693,40.7342684
"BLUE RIBBON SUSHI BAR & GRILL","MANHATTAN","COLUMBUS CIRCLE",10019,"Japanese","09/30/2014","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",8,"A","09/30/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9591844,40.7672355
"FORDHAM UNIVERSITY - RAM CAFETERIA","MANHATTAN","WEST   60 STREET",10023,"American","02/21/2014","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",8,"A","02/21/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9377205,40.8188529
"NECTAR OF 82ND STREET","MANHATTAN","MADISON AVENUE",10028,"American","11/21/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A","11/21/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.981308,40.728834
"WA JEAL","MANHATTAN","2 AVENUE",10028,"Chinese","05/21/2015","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,"A","05/21/2015","04/23/2017","Cycle Inspection / Re-inspection",-74.0102115,40.713174
"VISANA","MANHATTAN","1ST AVE",10003,"Italian","01/12/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",10,"A","01/12/2016","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.9492156,40.7808494
"CORK 'N FORK","MANHATTAN","AVENUE A",10009,"Tapas","01/07/2015","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",12,"A","01/07/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.963423,40.757236
"AZUSA OF JAPAN","MANHATTAN","EAST   44 STREET",10017,"Japanese","01/25/2016","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",12,"A","01/25/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.955612,40.771994
"DUNKIN' DONUTS","MANHATTAN","PARK PLACE",10007,"Donuts","04/03/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",10,"A","04/03/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9948046,40.7207138
"THREE DECKER RESTAURANT","MANHATTAN","2 AVENUE",10128,"American","08/23/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A","08/23/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.98076,40.730375
"HALE & HEARTY SOUP","MANHATTAN","E 46TH ST",10017,"Soups & Sandwiches","04/28/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A","04/28/2014","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.940713,40.789293
"LE PAIN QUOTIDIEN","MANHATTAN","1ST AVE",10022,"American","05/05/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A","05/05/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.96478,40.807252
"PIADA","MANHATTAN","5TH AVE",10019,"Italian","11/04/2015","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",11,"A","11/04/2015","04/23/2017","Cycle Inspection / Initial Inspection",-74.013025,40.701009
"GREENWICH VILLAGE COMEDY CLUB","MANHATTAN","MACDOUGAL STREET",10012,"American","02/15/2017","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A","02/15/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9801918,40.7518143
"VELLA","MANHATTAN","2 AVENUE",10075,"Italian","10/01/2014","Violations were cited in the following area(s).","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.","Critical",11,"A","10/01/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9847596,40.7456941
"COFFEE SHOP DINER","MANHATTAN","EAST   14 STREET",10009,"American","11/08/2013","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",11,"A","11/08/2013","04/23/2017","Cycle Inspection / Re-inspection",-73.9921988,40.7547995
"5 STAR CHEESE STEAK AND PIZZA","MANHATTAN","1ST AVE",10029,"Pizza","03/23/2017","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",11,"A","03/23/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9844492,40.7527363
"CHICKEN PROVENCE","MANHATTAN","E 39TH ST",10016,"French","11/10/2016","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A","11/10/2016","04/23/2017","Cycle Inspection / Re-inspection",-74.003686,40.730201
"#1 Chinese Restaurant","MANHATTAN","W 181ST ST",10033,"Chinese","09/30/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","09/30/2016","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.964839,40.807294
"PIZZA PLUS (SI FERRY TERMINAL)","MANHATTAN","SOUTH STREET",10004,"American","07/18/2014","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",24,"B","07/18/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.959604,40.773776
"W HOTEL","MANHATTAN","LEXINGTON AVENUE",10022,"American","04/15/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",19,"B","04/15/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.976753,40.761081
"TRATTORIA DELLA ARTE","MANHATTAN","7 AVENUE",10106,"Italian","10/27/2014","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",11,"A","10/27/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9781627,40.7451605
"TASTY CAFE","MANHATTAN","MADISON AVENUE",10016,"Sandwiches","09/15/2016","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",11,"A","09/15/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9626112,40.7591914
"BOBBY VAN'S","MANHATTAN","PARK AVENUE",10017,"Steak","04/15/2016","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",9,"A","04/15/2016","04/23/2017","Cycle Inspection / Initial Inspection",-74.0111157,40.714985
"UNTAMED SANDWICHES","MANHATTAN","W 39TH ST",10018,"American","03/13/2017","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",13,"A","03/13/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9218655,40.8683421
"STANTON SOCIAL","MANHATTAN","STANTON STREET",10002,"American","04/15/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,"A","04/15/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9830342,40.7228083
"LENOX HILL GRILL/PIZZA","MANHATTAN","LEXINGTON AVENUE",10075,"American","02/20/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A","02/20/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9833793,40.7645107
"TRUFA RESTAURANT","MANHATTAN","BROADWAY",10031,"Italian","03/27/2014","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A","03/27/2014","04/23/2017","Cycle Inspection / Re-inspection",-74.0033876,40.7315604
"THE MODERN","MANHATTAN","WEST   53 STREET",10019,"French","06/18/2015","No violations were recorded at the time of this inspection.","","","Not Applicable",0,"A","06/18/2015","04/23/2017","Cycle Inspection / Re-inspection",NA,NA
"CHIPOTLE MEXICAN GRILL","MANHATTAN","GREENWICH STREET",10007,"Tex-Mex","10/22/2015","Violations were cited in the following area(s).","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",5,"A","10/22/2015","04/23/2017","Cycle Inspection / Re-inspection",-79.9315748,32.7823508
"HIDDEN CITY CAFE","MANHATTAN","EAST   23 STREET",10010,"CafÃ©/Coffee/Tea","10/23/2014","Violations were cited in the following area(s).","04D","Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.","Critical",10,"A","10/23/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9942997,40.713948
"CHICKEN BAR","MANHATTAN","8 AVENUE",10036,"Chicken","09/23/2013","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",13,"A","09/23/2013","04/23/2017","Cycle Inspection / Initial Inspection",-73.9853589,40.7271114
"STARBUCKS","MANHATTAN","1 AVENUE",10003,"CafÃ©/Coffee/Tea","04/28/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A","04/28/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9949233,40.7259148
"CHARACTERS NYC BAR & GRILL","MANHATTAN","WEST   54 STREET",10019,"Irish","06/23/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A","06/23/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9977348,40.7189946
"CONES","MANHATTAN","BLEECKER STREET",10014,"Ice Cream, Gelato, Yogurt, Ices","09/28/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",7,"A","09/28/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9835879,40.7512069
"TIO PIO WEST","MANHATTAN","WEST   36 STREET",10018,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","03/06/2017","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",11,"A","03/06/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.9744877,40.7602588
"COVE LOUNGE","MANHATTAN","LENOX AVENUE",10027,"American","12/09/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A","12/09/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.998606,40.71414
"LITTLE BRANCH","MANHATTAN","7 AVENUE SOUTH",10014,"American","03/26/2014","Violations were cited in the following area(s).","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Critical",12,"A","03/26/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9917041,40.7601202
"HIGHLANDS RESTAURANT","MANHATTAN","WEST   10 STREET",10014,"English","10/22/2014","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",12,"A","10/22/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.952841,40.767587
"FIG & OLIVE MIDTOWN","MANHATTAN","EAST   52 STREET",10022,"Mediterranean","04/30/2015","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",10,"A","04/30/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9771857,40.7545424
"MARIO'S HAMBURGER & PIZZA PLACE","MANHATTAN","AMSTERDAM AVENUE",10032,"Other","03/31/2014","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",10,"A","03/31/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9321197,40.8492965
"NOHO STAR RESTAURANT","MANHATTAN","LAFAYETTE STREET",10012,"American","08/17/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A","08/17/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.941226,40.7919918
"BLAGGARD'S PUB","MANHATTAN","WEST   38 STREET",10018,"Irish","07/27/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",9,"A","07/27/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9796262,40.7623557
"PETRARCA","MANHATTAN","WHITE STREET",10013,"Italian","01/03/2017","Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",13,"A","01/03/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.9852353,40.7623402
"TURKISH CUISINE","MANHATTAN","9 AVENUE",10036,"Turkish","06/23/2015","Violations were cited in the following area(s).","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.","Not Critical",23,"B","06/23/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9195389,40.8656581
"TANOSHI BENTO","MANHATTAN","YORK AVE",10021,"Japanese","08/06/2014","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",20,"B","08/06/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9780501,40.7591789
"FRESCO TORTILLAS","MANHATTAN","10 AVENUE",10019,"Tex-Mex","12/07/2016","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",11,"A","12/07/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9941848,40.7619037
"IRISH PUNT","MANHATTAN","EXCHANGE PLACE",10005,"Irish","12/01/2015","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",7,"A","12/01/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9939988,40.7388828
"NY DC CAFE","MANHATTAN","LEXINGTON AVENUE",10016,"CafÃ©/Coffee/Tea","06/03/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A","06/03/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.984138,40.743783
"ARTS AND CRAFTS BEER PARLOR","MANHATTAN","W 8TH ST",10011,"American","05/09/2014","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",11,"A","05/09/2014","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.965314,40.805536
"RONG SHENG CHINESE RESTAURANT","MANHATTAN","2 AVENUE",10029,"Chinese","03/16/2017","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",7,"A","03/16/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.926574,40.8635652
"E.J LUNCHEONETTE","MANHATTAN","THIRD AVENUE",10021,"American","02/02/2016","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",5,"A","02/02/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9775182,40.7625005
"HILTON NEW YORK MAIN KITCHEN","MANHATTAN","AVENUE OF THE AMERICAS",10019,"American","06/04/2015","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",11,"A","06/04/2015","04/23/2017","Cycle Inspection / Re-inspection",-74.004298,40.7382139
"DOMINO'S","MANHATTAN","WEST   72 STREET",10023,"Pizza","05/05/2014","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",18,"B","05/05/2014","04/23/2017","Cycle Inspection / Re-inspection",6.3397521,49.9145813
"DUNKIN' DONUTS, BASKIN ROBBINS","MANHATTAN","2 AVENUE",10016,"Donuts","03/27/2017","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",11,"A","03/27/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.982561,40.742936
"EL VALLE SEAFOOD RESTAURANT","MANHATTAN","SHERMAN AVE",10034,"Spanish","12/29/2016","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,"A","12/29/2016","04/23/2017","Cycle Inspection / Re-inspection",-74.015696,40.7129514
"HELL'S CHICKEN","MANHATTAN","10 AVENUE",10036,"Korean","07/14/2015","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",10,"A","07/14/2015","04/23/2017","Cycle Inspection / Re-inspection",-74.00591,40.743015
"ROCKEFELLER FOUNDATION","MANHATTAN","5 AVENUE",10018,"American","05/09/2013","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",12,"A","05/09/2013","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.981911,40.7513332
"ST NICHOLAS FOOD","MANHATTAN","SAINT NICHOLAS AVE",10027,"Spanish","07/14/2014","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",26,"B","07/14/2014","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.9654024,40.7587321
"WENG'S PALACE","MANHATTAN","WEST   40 STREET",10018,"Chinese","03/16/2017","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",12,"A","03/16/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.995837,40.7134751
"ASELLINA RISTORANTE","MANHATTAN","PARK AVENUE SOUTH",10016,"Italian","11/07/2014","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",13,"A","11/07/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9825682,40.7590118
"AMIGOS","MANHATTAN","BROADWAY",10025,"Mexican","07/11/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A","07/11/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9996625,40.717286
"BISTRO MILANO","MANHATTAN","AVENUE OF THE AMERICAS",10019,"Italian","11/13/2013","Violations were cited in the following area(s).","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.","Critical",9,"A","11/13/2013","04/23/2017","Cycle Inspection / Re-inspection",-74.006177,40.705063
"FAIR FOLKS AND A GOAT","MANHATTAN","E 11TH ST",10003,"CafÃ©/Coffee/Tea","05/15/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",7,"A","05/15/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9702556,40.7972241
"TAVERN ON JANE","MANHATTAN","8 AVENUE",10014,"American","01/12/2015","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",18,"B","01/12/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9455187,40.7920717
"MAIDEN LANE","MANHATTAN","AVE B",10009,"American","08/12/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",10,"A","08/12/2014","04/23/2017","Cycle Inspection / Re-inspection",-74.002498,40.724395
"CAFE 11","MANHATTAN","BROADWAY",10004,"Jewish/Kosher","11/28/2016","Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",6,"A","11/28/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9957753,40.7391501
"SPRINKLES CUPCAKES","MANHATTAN","VESEY ST",10281,"Bakery","06/12/2015","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",11,"A","06/12/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9902064,40.7621689
"BISTANGO","MANHATTAN","3 AVENUE",10016,"Italian","07/22/2014","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",15,"B","07/22/2014","04/23/2017","Cycle Inspection / Re-inspection",-74.0007785,40.7238113
"BETEL PARTY SUPPLY BAKERY","MANHATTAN","SHERMAN AVENUE",10040,"Bakery","04/13/2017","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A","04/13/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9502679,40.8025539
"HIGHLINE BALLROOM","MANHATTAN","WEST   16 STREET",10011,"American","02/10/2017","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",13,"A","02/10/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.9735553,40.7901516
"CHIPOTLE MEXICAN GRILL","MANHATTAN","SPRING STREET",10012,"Mexican","07/16/2014","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",11,"A","07/16/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.985333,40.763074
"NY HOT JUMBO BAGELS","MANHATTAN","2 AVENUE",10022,"Delicatessen","02/10/2015","Violations were cited in the following area(s).","08B","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.","Not Critical",11,"A","02/10/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9597474,40.8140896
"YUNG SUN SEAFOOD RESTAURANT","MANHATTAN","EAST BROADWAY",10002,"Chinese","01/27/2016","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",12,"A","01/27/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9842697,40.7734636
"FINANCIER PATISSERIE","MANHATTAN","6 AVENUE",10036,"Bakery","09/26/2016","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",18,"B","09/26/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.935703,40.795939
"EXCHANGE HOTEL","MANHATTAN","FRONT STREET",10005,"American","11/26/2014","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",23,"B","11/26/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.947245,40.79637
"THE SIMONE","MANHATTAN","EAST 82 STREET",10028,"French","11/18/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A","11/18/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.97686,40.74809
